n,steps_trained,layer,tensor,pearson,spearman,first_expo_loss_min,first_expo_loss_max,first_expo_sparsity_first,first_expo_sparsity_last,positions,eval_passes
2048,2309,0,xy,-0.216,-0.0086,3.2645,3.2827,0.15604,0.17538,77,5
2048,2309,1,xy,0.2451,0.3232,3.2645,3.2827,0.14263,0.14638,77,5
2048,2309,2,xy,0.1001,0.042,3.2645,3.2827,0.0994,0.06896,77,5
2048,2309,3,xy,-0.1438,-0.6072,3.2645,3.2827,0.08969,0.06482,77,5
8192,2309,0,xy,-0.1396,0.0859,3.2652,3.289,0.20874,0.2478,77,5
8192,2309,1,xy,0.6162,0.2441,3.2652,3.289,0.08475,0.08365,77,5
8192,2309,2,xy,0.3041,-0.0472,3.2652,3.289,0.13311,0.04528,77,5
8192,2309,3,xy,-0.1422,-0.478,3.2652,3.289,0.07272,0.04423,77,5
16384,2309,0,xy,-0.0681,-0.0422,3.2694,3.2882,0.24803,0.27174,77,5
16384,2309,1,xy,0.032,0.2495,3.2694,3.2882,0.09902,0.09119,77,5
16384,2309,2,xy,0.0946,-0.0301,3.2694,3.2882,0.11481,0.06135,77,5
16384,2309,3,xy,-0.0769,-0.4124,3.2694,3.2882,0.0869,0.05454,77,5
2048,1854,0,xy,-0.1999,-0.0477,3.276,3.2973,0.16295,0.18027,77,5
2048,1854,1,xy,0.3018,0.3447,3.276,3.2973,0.17253,0.15123,77,5
2048,1854,2,xy,0.0892,0.0508,3.276,3.2973,0.10073,0.06795,77,5
2048,1854,3,xy,-0.179,-0.6263,3.276,3.2973,0.08995,0.06478,77,5
8192,1917,0,xy,-0.1452,0.0333,3.2734,3.303,0.20876,0.24877,77,5
8192,1917,1,xy,0.4538,0.1687,3.2734,3.303,0.0876,0.07896,77,5
8192,1917,2,xy,0.2928,0.0146,3.2734,3.303,0.1284,0.04586,77,5
8192,1917,3,xy,-0.1359,-0.4997,3.2734,3.303,0.08234,0.04876,77,5
