n,d,layers,params,steps_trained,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep,ratio_min,ratio_max,eval_passes,word_pool
2048,64,4,397312,4000,True,3.2627,0.0014,0,x,0.39085,0.47593,0.47593,1.0,1.0,1.0,5,
2048,64,4,397312,4000,True,3.2627,0.0014,0,y,0.38049,0.40544,0.48218,0.8409,0.838,0.8426,5,
2048,64,4,397312,4000,True,3.2627,0.0014,0,xy,0.11465,0.15525,0.19883,0.7808,0.7783,0.7818,5,
2048,64,4,397312,4000,True,3.2627,0.0014,1,x,0.44304,0.3447,0.31377,1.0986,1.0977,1.0995,5,
2048,64,4,397312,4000,True,3.2627,0.0014,1,y,0.37846,0.43401,0.35526,1.2217,1.2209,1.2229,5,
2048,64,4,397312,4000,True,3.2627,0.0014,1,xy,0.14876,0.15293,0.12367,1.2366,1.2345,1.238,5,
2048,64,4,397312,4000,True,3.2627,0.0014,2,x,0.40458,0.33251,0.28747,1.1567,1.1558,1.1577,5,
2048,64,4,397312,4000,True,3.2627,0.0014,2,y,0.37382,0.30003,0.25332,1.1844,1.183,1.1852,5,
2048,64,4,397312,4000,True,3.2627,0.0014,2,xy,0.13316,0.08117,0.05552,1.462,1.4584,1.4657,5,
2048,64,4,397312,4000,True,3.2627,0.0014,3,x,0.43138,0.34974,0.33676,1.0385,1.0366,1.0406,5,
2048,64,4,397312,4000,True,3.2627,0.0014,3,y,0.3892,0.28931,0.28933,0.9999,0.9983,1.0011,5,
2048,64,4,397312,4000,True,3.2627,0.0014,3,xy,0.15561,0.07388,0.07491,0.9863,0.9822,0.9896,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,0,x,0.35129,0.48826,0.48826,1.0,1.0,1.0,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,0,y,0.39012,0.47053,0.57939,0.8121,0.8105,0.8144,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,0,xy,0.11934,0.21606,0.275,0.7857,0.7839,0.7877,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,1,x,0.27273,0.25132,0.19728,1.2739,1.2715,1.2755,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,1,y,0.32951,0.33773,0.30881,1.0936,1.0925,1.0953,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,1,xy,0.06969,0.07831,0.06075,1.289,1.285,1.2941,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,2,x,0.31235,0.29301,0.20913,1.4011,1.3999,1.4029,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,2,y,0.33969,0.29418,0.22545,1.3049,1.3026,1.3077,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,2,xy,0.08663,0.07529,0.03422,2.2,2.1924,2.2095,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,3,x,0.37307,0.29604,0.27248,1.0865,1.0846,1.0883,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,3,y,0.35853,0.244,0.2428,1.005,1.0029,1.0071,5,
8192,128,4,3153920,4000,True,3.2606,0.0009,3,xy,0.12019,0.05488,0.05278,1.0399,1.0343,1.0446,5,
