n,d,layers,params,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep,ratio_min,ratio_max,eval_passes
2048,64,4,397312,True,2.8794,0.0075,0,x,0.40069,0.48112,0.48112,1.0,1.0,1.0,5
2048,64,4,397312,True,2.8794,0.0075,0,y,0.40032,0.43426,0.49511,0.8771,0.8755,0.8789,5
2048,64,4,397312,True,2.8794,0.0075,0,xy,0.12752,0.17139,0.20927,0.819,0.8167,0.8213,5
2048,64,4,397312,True,2.8794,0.0075,1,x,0.43879,0.35289,0.31615,1.1162,1.1156,1.1173,5
2048,64,4,397312,True,2.8794,0.0075,1,y,0.3833,0.43903,0.35199,1.2473,1.2464,1.2483,5
2048,64,4,397312,True,2.8794,0.0075,1,xy,0.147,0.1614,0.12542,1.2868,1.2851,1.2885,5
2048,64,4,397312,True,2.8794,0.0075,2,x,0.40117,0.33437,0.2926,1.1427,1.1419,1.1442,5
2048,64,4,397312,True,2.8794,0.0075,2,y,0.38054,0.29746,0.25363,1.1728,1.171,1.1746,5
2048,64,4,397312,True,2.8794,0.0075,2,xy,0.13279,0.08241,0.05756,1.4318,1.4299,1.4334,5
2048,64,4,397312,True,2.8794,0.0075,3,x,0.42668,0.35877,0.35089,1.0225,1.02,1.0244,5
2048,64,4,397312,True,2.8794,0.0075,3,y,0.3981,0.28867,0.30402,0.9495,0.9465,0.9522,5
2048,64,4,397312,True,2.8794,0.0075,3,xy,0.15545,0.07676,0.0841,0.9127,0.9091,0.9161,5
8192,128,4,3153920,True,2.8797,0.007,0,x,0.37526,0.50988,0.50988,1.0,1.0,1.0,5
8192,128,4,3153920,True,2.8797,0.007,0,y,0.39308,0.48439,0.59022,0.8207,0.8195,0.8224,5
8192,128,4,3153920,True,2.8797,0.007,0,xy,0.13048,0.22954,0.29007,0.7913,0.7904,0.7928,5
8192,128,4,3153920,True,2.8797,0.007,1,x,0.29251,0.25992,0.19161,1.3565,1.3545,1.3584,5
8192,128,4,3153920,True,2.8797,0.007,1,y,0.33303,0.32036,0.27392,1.1695,1.1677,1.1718,5
8192,128,4,3153920,True,2.8797,0.007,1,xy,0.08042,0.08381,0.05642,1.4856,1.4828,1.4898,5
8192,128,4,3153920,True,2.8797,0.007,2,x,0.32215,0.28686,0.2133,1.3449,1.3435,1.3458,5
8192,128,4,3153920,True,2.8797,0.007,2,y,0.33256,0.28904,0.23015,1.2559,1.2531,1.2578,5
8192,128,4,3153920,True,2.8797,0.007,2,xy,0.09095,0.07181,0.03639,1.9731,1.9695,1.9798,5
8192,128,4,3153920,True,2.8797,0.007,3,x,0.37424,0.29929,0.275,1.0883,1.087,1.0897,5
8192,128,4,3153920,True,2.8797,0.007,3,y,0.36284,0.2534,0.26239,0.9657,0.9645,0.9674,5
8192,128,4,3153920,True,2.8797,0.007,3,xy,0.1255,0.06066,0.06288,0.9647,0.9628,0.9677,5
8192,128,4,3153920,True,2.8797,0.007,0,x,0.37526,0.50988,0.50988,1.0,1.0,1.0,5
8192,128,4,3153920,True,2.8797,0.007,0,y,0.39308,0.48439,0.59022,0.8207,0.8195,0.8224,5
8192,128,4,3153920,True,2.8797,0.007,0,xy,0.13048,0.22954,0.29007,0.7913,0.7904,0.7928,5
8192,128,4,3153920,True,2.8797,0.007,1,x,0.29251,0.25992,0.19161,1.3565,1.3545,1.3584,5
8192,128,4,3153920,True,2.8797,0.007,1,y,0.33303,0.32036,0.27392,1.1695,1.1677,1.1718,5
8192,128,4,3153920,True,2.8797,0.007,1,xy,0.08042,0.08381,0.05642,1.4856,1.4828,1.4898,5
8192,128,4,3153920,True,2.8797,0.007,2,x,0.32215,0.28686,0.2133,1.3449,1.3435,1.3458,5
8192,128,4,3153920,True,2.8797,0.007,2,y,0.33256,0.28904,0.23015,1.2559,1.2531,1.2578,5
8192,128,4,3153920,True,2.8797,0.007,2,xy,0.09095,0.07181,0.03639,1.9731,1.9695,1.9798,5
8192,128,4,3153920,True,2.8797,0.007,3,x,0.37424,0.29929,0.275,1.0883,1.087,1.0897,5
