n,d,layers,params,steps_trained,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep,ratio_min,ratio_max,eval_passes
2048,64,4,397312,2309,False,0.0004,0.0004,0,x,0.46804,0.4538,0.4538,1.0,1.0,1.0,5
2048,64,4,397312,2309,False,0.0004,0.0004,0,y,0.45318,0.46173,0.46114,1.0013,1.0013,1.0013,5
2048,64,4,397312,2309,False,0.0004,0.0004,0,xy,0.20927,0.20526,0.20464,1.003,1.003,1.003,5
2048,64,4,397312,2309,False,0.0004,0.0004,1,x,0.47604,0.45963,0.46008,0.999,0.999,0.999,5
2048,64,4,397312,2309,False,0.0004,0.0004,1,y,0.46428,0.47644,0.47757,0.9976,0.9976,0.9976,5
2048,64,4,397312,2309,False,0.0004,0.0004,1,xy,0.21911,0.21594,0.21471,1.0057,1.0057,1.0057,5
2048,64,4,397312,2309,False,0.0004,0.0004,2,x,0.47457,0.4603,0.45945,1.0019,1.0019,1.0019,5
2048,64,4,397312,2309,False,0.0004,0.0004,2,y,0.45609,0.46661,0.46759,0.9979,0.9979,0.9979,5
2048,64,4,397312,2309,False,0.0004,0.0004,2,xy,0.21713,0.21063,0.20978,1.0041,1.0041,1.0041,5
2048,64,4,397312,2309,False,0.0004,0.0004,3,x,0.48789,0.47556,0.47606,0.9989,0.9989,0.9989,5
2048,64,4,397312,2309,False,0.0004,0.0004,3,y,0.451,0.45956,0.4569,1.0058,1.0058,1.0058,5
2048,64,4,397312,2309,False,0.0004,0.0004,3,xy,0.21608,0.21268,0.21017,1.0119,1.0119,1.0119,5
