n,d,layers,params,steps_trained,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep,ratio_min,ratio_max,eval_passes,word_pool
2048,64,4,397312,2309,True,0.3532,0.0006,0,x,0.36174,0.39778,0.39778,1.0,1.0,1.0,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,0,y,0.35738,0.35075,0.35409,0.9906,0.9894,0.9914,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,0,xy,0.12125,0.12178,0.12015,1.0135,1.0117,1.0154,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,1,x,0.32763,0.36902,0.36486,1.0114,1.0108,1.0122,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,1,y,0.39938,0.41468,0.40897,1.014,1.0128,1.015,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,1,xy,0.11877,0.13423,0.12779,1.0505,1.0482,1.0529,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,2,x,0.34246,0.36852,0.36543,1.0085,1.0076,1.0094,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,2,y,0.4172,0.44568,0.44597,0.9993,0.9986,0.9999,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,2,xy,0.12926,0.14189,0.14005,1.0132,1.0103,1.0152,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,3,x,0.39165,0.41782,0.41694,1.0021,1.0016,1.0032,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,3,y,0.43954,0.47053,0.47744,0.9855,0.9843,0.9863,5,16
2048,64,4,397312,2309,True,0.3532,0.0006,3,xy,0.16315,0.17943,0.18227,0.9845,0.9822,0.9863,5,16
2048,64,4,397312,2309,True,0.7309,0.0006,0,x,0.3806,0.46558,0.46558,1.0,1.0,1.0,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,0,y,0.28919,0.29334,0.32865,0.8925,0.8914,0.8943,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,0,xy,0.09701,0.1135,0.12563,0.9035,0.9027,0.9051,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,1,x,0.39322,0.3529,0.33687,1.0476,1.0467,1.0493,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,1,y,0.32023,0.3046,0.27257,1.1175,1.1153,1.1201,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,1,xy,0.11361,0.09493,0.07792,1.2183,1.2134,1.2237,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,2,x,0.35748,0.31662,0.28738,1.1018,1.1007,1.103,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,2,y,0.33433,0.26617,0.23104,1.152,1.1493,1.1549,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,2,xy,0.10467,0.06388,0.04128,1.5474,1.5374,1.5546,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,3,x,0.34134,0.33785,0.33004,1.0236,1.0229,1.025,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,3,y,0.31911,0.28298,0.27579,1.0261,1.0223,1.0295,5,256
2048,64,4,397312,2309,True,0.7309,0.0006,3,xy,0.08943,0.07153,0.06355,1.1256,1.1182,1.1305,5,256
