n,d,layers,params,steps,final_loss,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,0,x,0.37526,0.50764,0.50764,1.0
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,0,y,0.39307,0.48298,0.58865,0.8205
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,0,xy,0.13046,0.22791,0.28821,0.7908
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,1,x,0.29253,0.26026,0.19185,1.3566
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,1,y,0.33294,0.32081,0.2744,1.1691
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,1,xy,0.08046,0.08406,0.05664,1.4841
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,2,x,0.32221,0.28663,0.21306,1.3453
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,2,y,0.33238,0.28917,0.22979,1.2584
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,2,xy,0.09097,0.07186,0.03624,1.9831
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,3,x,0.37426,0.29929,0.27551,1.0863
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,3,y,0.36286,0.2538,0.2629,0.9654
8192,128,4,3153920,1917,0.1753,True,2.8752,0.0047,3,xy,0.12554,0.06087,0.06328,0.9619
