n,d,layers,params,steps_trained,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep,ratio_min,ratio_max,eval_passes,word_pool
2048,64,4,397312,2309,True,3.2775,0.0037,0,x,0.32407,0.48006,0.48006,1.0,1.0,1.0,5,
2048,64,4,397312,2309,True,3.2775,0.0037,0,y,0.42287,0.49787,0.55852,0.8914,0.8909,0.8922,5,
2048,64,4,397312,2309,True,3.2775,0.0037,0,xy,0.11689,0.22146,0.25925,0.8542,0.8531,0.8552,5,
2048,64,4,397312,2309,True,3.2775,0.0037,1,x,0.31947,0.31849,0.27386,1.163,1.1624,1.1644,5,
2048,64,4,397312,2309,True,3.2775,0.0037,1,y,0.39424,0.40813,0.35338,1.1549,1.1545,1.1553,5,
2048,64,4,397312,2309,True,3.2775,0.0037,1,xy,0.10807,0.13473,0.11293,1.193,1.1917,1.1952,5,
2048,64,4,397312,2309,True,3.2775,0.0037,2,x,0.37412,0.30677,0.26437,1.1604,1.1595,1.1617,5,
2048,64,4,397312,2309,True,3.2775,0.0037,2,y,0.4016,0.33192,0.25494,1.3019,1.2998,1.3027,5,
2048,64,4,397312,2309,True,3.2775,0.0037,2,xy,0.14045,0.08932,0.05187,1.7219,1.7124,1.7294,5,
2048,64,4,397312,2309,True,3.2775,0.0037,3,x,0.43042,0.31992,0.31505,1.0155,1.013,1.0179,5,
2048,64,4,397312,2309,True,3.2775,0.0037,3,y,0.42579,0.31972,0.28341,1.1281,1.1258,1.1305,5,
2048,64,4,397312,2309,True,3.2775,0.0037,3,xy,0.17581,0.08906,0.07518,1.1847,1.1791,1.1899,5,
