word,base_pct,injected_pct,jump_pct,layer,position,n,steps_trained,source
tmredfpf,4.79,6.01,26,2,48,2048,2309,page
rtyufghj,4.54,6.05,33,2,48,2048,2309,page
xswedcvf,4.98,6.25,25,2,48,2048,2309,page
abcdefgh,4.93,5.96,21,2,48,2048,2309,page
kvptnrsw,5.18,6.20,20,2,48,2048,2309,page
dqwsxzcr,5.37,6.01,12,2,48,2048,2309,page
kwjhtpxv,4.93,5.47,11,2,48,2048,2309,page
jbqxmwlf,6.69,7.32,9,2,48,2048,2309,page
hgtyrfvb,5.37,5.81,8,2,48,2048,2309,page
brtnsulm,5.18,5.47,6,2,48,2048,2309,page
zqmvblkx,6.05,6.30,4,2,48,2048,2309,page
gflowdkr,5.86,6.10,4,2,48,2048,2309,page
mzxcvbnq,5.57,5.81,4,2,48,2048,2309,page
plokijuh,5.22,5.27,1,2,48,2048,2309,page
vbnmasdf,6.35,5.86,-8,2,48,2048,2309,page
