n,d,layers,params,steps,final_loss,task_learned,first_expo_loss,repetition_loss,layer,tensor,warmup,mem,rep,mem_over_rep
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,0,x,0.3987,0.48366,0.48366,1.0
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,0,y,0.39739,0.41889,0.49051,0.854
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,0,xy,0.1236,0.1666,0.20757,0.8026
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,1,x,0.4388,0.35088,0.31857,1.1014
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,1,y,0.38447,0.42638,0.34796,1.2254
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,1,xy,0.14599,0.15095,0.12358,1.2215
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,2,x,0.40446,0.34855,0.29658,1.1752
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,2,y,0.38442,0.30321,0.26157,1.1592
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,2,xy,0.13612,0.0851,0.05777,1.4729
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,3,x,0.42594,0.3612,0.34502,1.0469
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,3,y,0.38941,0.28606,0.29548,0.9681
2048,64,4,397312,2309,0.1739,True,3.2728,0.0128,3,xy,0.15284,0.07674,0.07925,0.9683
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,0,x,0.36855,0.50756,0.50756,1.0
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,0,y,0.40372,0.48643,0.587,0.8287
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,0,xy,0.1318,0.23006,0.28791,0.799
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,1,x,0.27166,0.26373,0.1932,1.3651
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,1,y,0.32018,0.32587,0.30009,1.0859
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,1,xy,0.07035,0.08574,0.06095,1.4069
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,2,x,0.3389,0.29914,0.21448,1.3947
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,2,y,0.33538,0.29426,0.23142,1.2716
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,2,xy,0.0968,0.07723,0.03628,2.1289
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,3,x,0.40092,0.29387,0.27369,1.0737
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,3,y,0.36247,0.2439,0.2551,0.9561
8192,128,4,3153920,2309,0.1727,True,3.2817,0.002,3,xy,0.13351,0.05626,0.05896,0.9543
